epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.49509,2.20436,6.3779,3.35161,2.30153,0.01129,0.51042,0.17721,0.15997,0.00254,0.05556,0.00248,0.00045,2.48636,7.17023,3.12424,2.66832,0.00011432,0.00011432,0.00011432
2,9.42682,1.87421,4.59646,3.24899,2.01584,0.01217,0.47917,0.19898,0.05571,0.00334,0.05556,0.01516,0.00296,2.9112,5.60035,3.24521,3.03007,0.00023331,0.00023331,0.00023331
3,12.6566,1.6799,3.7812,2.76998,1.81652,0.01909,0.60764,0.32494,0.16733,0.0072,0.12153,0.05127,0.016,2.07472,4.80438,3.06143,2.35885,0.000342114,0.000342114,0.000342114
4,16.994,1.46253,3.26494,2.23845,1.67,0.97522,0.17817,0.55973,0.36915,0.48904,0.05556,0.07015,0.01844,1.46202,5.75252,2.35397,1.60501,0.000440732,0.000440732,0.000440732
5,19.9279,1.36414,3.04683,1.95303,1.62633,0.902,0.49133,0.59934,0.41645,0.69174,0.29117,0.31542,0.1138,1.42243,4.36607,1.60456,1.49696,0.000529164,0.000529164,0.000529164
6,22.9962,1.32899,2.7828,1.71137,1.57669,0.86601,0.60069,0.61844,0.45103,0.6833,0.36111,0.36156,0.16621,1.36511,3.79486,1.21562,1.46037,0.000607411,0.000607411,0.000607411
7,25.7905,1.34414,2.87034,1.65678,1.61042,0.9054,0.60073,0.63729,0.48541,0.70457,0.39819,0.35038,0.15964,1.34191,3.67529,1.20908,1.46559,0.000675471,0.000675471,0.000675471
8,29.601,1.30356,2.83042,1.6171,1.56994,0.85486,0.60157,0.63095,0.4598,0.64759,0.34349,0.32432,0.17525,1.33331,3.18098,1.28607,1.51313,0.000733346,0.000733346,0.000733346
9,32.9996,1.27768,2.75793,1.47927,1.55084,0.84677,0.60764,0.6468,0.47341,0.70664,0.40284,0.38631,0.18143,1.30877,3.07237,1.34065,1.53314,0.000781034,0.000781034,0.000781034
10,35.6629,1.26559,2.71442,1.43761,1.52677,0.92177,0.57292,0.63874,0.47771,0.73777,0.41675,0.44178,0.19173,1.29099,2.83351,1.43032,1.55449,0.000818537,0.000818537,0.000818537
11,38.3987,1.27625,2.78296,1.43193,1.56371,0.96586,0.54514,0.66278,0.52033,0.785,0.46875,0.49602,0.19827,1.29673,3.09166,1.29992,1.6013,0.000845854,0.000845854,0.000845854
12,41.0912,1.22416,2.57221,1.37271,1.49949,0.91918,0.62082,0.69196,0.52785,0.80489,0.48633,0.55258,0.22804,1.31925,2.98576,1.31265,1.59925,0.000806528,0.000806528,0.000806528
13,44.9091,1.24223,2.64901,1.40911,1.54694,0.91379,0.58333,0.68198,0.47838,0.81546,0.50902,0.564,0.22839,1.34525,2.86262,1.30311,1.56513,0.000749939,0.000749939,0.000749939
14,48.2559,1.18083,2.58991,1.33832,1.48718,0.92268,0.58961,0.71821,0.48395,0.83033,0.48891,0.55956,0.24589,1.32935,2.72003,1.22647,1.52838,0.000693351,0.000693351,0.000693351
15,51.081,1.20953,2.58812,1.33006,1.4958,0.91664,0.63513,0.79935,0.51042,0.80099,0.49653,0.57765,0.25418,1.31124,2.67203,1.12861,1.49544,0.000636762,0.000636762,0.000636762
16,56.1454,1.12537,2.29261,1.32138,1.4532,0.6775,0.77171,0.83543,0.56312,0.53493,0.58685,0.58781,0.2711,1.22588,2.54673,1.12857,1.44501,0.000580174,0.000580174,0.000580174
17,60.6387,1.11302,2.29113,1.32279,1.50516,0.60879,0.80556,0.8055,0.56076,0.53209,0.71181,0.62481,0.2807,1.13256,2.46073,1.27688,1.43436,0.000523586,0.000523586,0.000523586
18,62.9065,1.06829,2.23431,1.27583,1.43743,0.6111,0.84375,0.78344,0.56533,0.50589,0.72917,0.60396,0.26236,1.15981,2.42411,1.27559,1.48418,0.000466997,0.000466997,0.000466997
19,65.1685,1.05904,2.1761,1.24622,1.45936,0.72961,0.79934,0.7959,0.56965,0.69047,0.67014,0.67289,0.26992,1.20587,2.43377,1.14931,1.51226,0.000410409,0.000410409,0.000410409
20,67.3781,1.03857,2.14918,1.19125,1.42078,0.79953,0.80903,0.82522,0.58103,0.80167,0.78125,0.7562,0.28724,1.1431,2.45482,1.11956,1.45604,0.00035382,0.00035382,0.00035382
21,69.5897,1.00087,2.08349,1.08313,1.39876,0.83554,0.83333,0.86449,0.58913,0.81023,0.76426,0.75989,0.29757,1.16561,2.47157,1.10593,1.48204,0.000297232,0.000297232,0.000297232
22,72.5353,1.006,2.05893,1.06403,1.38927,0.90837,0.85971,0.89809,0.5967,0.80809,0.75317,0.75283,0.31296,1.17248,2.45621,1.09468,1.49671,0.000240644,0.000240644,0.000240644
23,75.7539,0.97663,2.0247,1.05614,1.38567,0.89174,0.87847,0.90276,0.60463,0.82064,0.8085,0.79102,0.33427,1.16897,2.40827,1.0542,1.48697,0.000184055,0.000184055,0.000184055
24,78.0213,0.96481,2.0602,1.06107,1.3774,0.90477,0.88194,0.91099,0.63969,0.83752,0.82832,0.82324,0.35785,1.1396,2.34353,1.03022,1.45522,0.000127467,0.000127467,0.000127467
25,80.3821,0.984,1.99851,1.02632,1.38628,0.91246,0.87113,0.91553,0.63692,0.83578,0.82264,0.82611,0.37149,1.12633,2.30746,1.02555,1.4357,7.08784e-05,7.08784e-05,7.08784e-05
